Name,Latitude,Longitude
CALLE 45 CON CARRERA 46 BARRANQUILLA,10.9873617,-74.7849389
CALLE 45 CON CARRERA 50 BARRANQUILLA,10.9896613,-74.7840489
CALLE 45 CON CARRERA 7 BARRANQUILLA,10.9413601,-74.7993874
CALLE 45 CON CARRERA 7C BARRANQUILLA,10.9428048,-74.7994937
CALLE 45 CON CARRERA 8 BARRANQUILLA,10.9461818,-74.7996238
CALLE 45 CON CARRERA 8C BARRANQUILLA,10.9478098,-74.7996782
CALLE 45 CON CARRERAS 14 BARRANQUILLA,10.9543704,-74.7968304
CALLE 45 CON CARRERAS 1E BARRANQUILLA,10.9317964,-74.7993202
CALLE 45 CON CARRERAS 20 BARRANQUILLA,10.9599332,-74.7941408
CALLE 47 CON CARRERA 14 BARRANQUILLA,10.9587401,-74.8032998
CALLE 47 CON CARRERA 16 BARRANQUILLA,10.9598037,-74.8016144
CALLE 47 CON CARRERA 18 BARRANQUILLA,10.9607035,-74.7997901
CALLE 47 CON CARRERA 21 BARRANQUILLA,10.96297,-74.7950824
CALLE 47 CON CARRERA 22 BARRANQUILLA,10.9802137,-74.7881549
CALLE 47 CON CARRERA 33 BARRANQUILLA,10.9754357,-74.7894946
CALLE 50 CON CARRERA 24 BARRANQUILLA,10.9684734,-74.7952014
CALLE 50 CON CARRERA 27 BARRANQUILLA,10.9712039,-74.7939952
CALLE 50 CON CARRERA 33 BARRANQUILLA,10.976169,-74.791678
CALLE 50 CON CARRERA 38 BARRANQUILLA,10.98066,-74.7903074
CALLE 50 CON CARRERA 41 BARRANQUILLA,10.9820734,-74.7899097
CALLE 50 CON CARRERA 43 BARRANQUILLA,10.983771,-74.7893841
CALLE 50 CON CARRERA 44 BARRANQUILLA,10.985343,-74.7888018
CALLE 50 CON CARRERA 45 BARRANQUILLA,10.9873053,-74.7882298
CALLE 50 CON CARRERA 46 BARRANQUILLA,10.9881277,-74.7879786
CALLE 51 CON CARRERA 38 BARRANQUILLA,10.9808792,-74.7912623
CALLE 53 CON CARRERA 45 BARRANQUILLA,10.987717,-74.7897734
CALLE 53 CON CARRERA 46 BARRANQUILLA,10.9885764,-74.7895198
CALLE 53 CON CARRERA 50 BARRANQUILLA,10.9907409,-74.789138
CALLE 53 CON CARRERA 54 BARRANQUILLA,10.9927375,-74.7892454
CALLE 53D CON CARRERA 21B BARRANQUILLA,10.9682144,-74.8002887
CALLE 53D CON CARRERA 24 BARRANQUILLA,10.970826,-74.798462
CALLE 53D CON CARRERA 25 BARRANQUILLA,10.972475,-74.797588
CALLE 53D CON CARRERA 31 BARRANQUILLA,10.97656,-74.7973705
CALLE 54 CON CARRERA 33 BARRANQUILLA,10.9781534,-74.7967611
CALLE 54 CON CARRERA 38 BARRANQUILLA,10.9816451,-74.7944106
CALLE 54 CON CARRERA 41 BARRANQUILLA,10.9828188,-74.793685
CALLE 54 CON CARRERA 43 BARRANQUILLA,10.9846061,-74.7925588
CALLE 54 CON CARRERA 44 BARRANQUILLA,10.9861841,-74.7919628
CALLE 54 CON CARRERA 45 BARRANQUILLA,10.9881505,-74.7913516
CALLE 54 CON CARRERA 46 BARRANQUILLA,10.9890391,-74.7910884
CALLE 54 CON CARRERA 50 BARRANQUILLA,10.9907684,-74.790591
CALLE 54 CON CARRERA 53 BARRANQUILLA,10.9917181,-74.7903144
CALLE 55 CON CARRERA 46 BARRANQUILLA,10.989339,-74.7917523
CALLE 55 CON CARRERA 47 y 50 BARRANQUILLA,10.990703,-74.791388
CALLE 55 CON CARRERA 54 BARRANQUILLA,10.9927706,-74.7912042
CALLE 56 CON CARRERA 9D BARRANQUILLA,10.9535889,-74.8087009
CALLE 57 CON CARRERA 24 BARRANQUILLA,10.9713274,-74.8012771
CALLE 57 CON CARRERA 25 BARRANQUILLA,10.972698,-74.801185
CALLE 58 CON CARRERA 54 BARRANQUILLA,10.9928996,-74.7914763
CALLE 59 CON CARRERA 45 BARRANQUILLA,10.9892126,-74.79522
